Kingdom	Supergroup	Division	Class	Order	Family	Genus	Species
Eukaryota	Rhizaria	Cercozoa	Filosa-Granofilosea	Limnofilida	Limnofilidae	Limnofila	Limnofila_oxoniensis
Eukaryota	Opisthokonta	Metazoa	Mollusca	Bivalvia	Arcoida	Barbatia	Barbatia_fusca
Eukaryota	Rhizaria	Cercozoa	Filosa-Sarcomonadea	Cercomonadida	Cercomonadidae	Cercomonas	Cercomonas_braziliensis
Eukaryota	Opisthokonta	Metazoa	Nematoda	Chromadorea	Chromadorea_X	Enterobius	Enterobius_vermicularis
Eukaryota	Alveolata	Dinoflagellata	Dinophyceae	Peridiniales	Crypthecodiniaceae	Crypthecodinium	Crypthecodinium_sp.
Eukaryota	Amoebozoa	Lobosa	Tubulinea	Euamoebida	Hartmannellidae	Copromyxa	Copromyxa_protea
Eukaryota	Opisthokonta	Fungi	Chytridiomycota	Chytridiomycotina	Chytridiomycetes	Entophlyctis	Entophlyctis_confervae-glomeratae
Eukaryota	Opisthokonta	Metazoa	Mollusca	Gastropoda	Patellogastropoda	Cellana	NA
Eukaryota	Opisthokonta	Metazoa	Arthropoda	Hexapoda	Insecta	Megaselia	Megaselia_scalaris
Eukaryota	Archaeplastida	Rhodophyta	Florideophyceae	Gigartinales	Gigartinales_X	NA	NA
Eukaryota	Opisthokonta	Fungi	Basidiomycota	Agaricomycotina	Tremellomycetes	Cryptococcus	Cryptococcus_flavescens
Eukaryota	Alveolata	Apicomplexa	Colpodellidea	Colpodellida	Colpodellaceae	Colpodella	Colpodella_sp.
Eukaryota	Opisthokonta	Fungi	Basidiomycota	Agaricomycotina	Agaricomycetes	Tulasnella	Tulasnella_asymmetrica
Eukaryota	Opisthokonta	Fungi	Basidiomycota	Pucciniomycotina	Pucciniomycetes	Naohidemyces	Naohidemyces_vaccinii
Eukaryota	Opisthokonta	Fungi	Mucoromycota	Mucoromycotina	Mucoromycotina_X	Mucor	Mucor_sp.
Eukaryota	Opisthokonta	Fungi	Basidiomycota	Agaricomycotina	Agaricomycetes	Chondrostereum	Chondrostereum_purpureum
Eukaryota	Opisthokonta	Metazoa	Arthropoda	Chelicerata	Arachnida	Calepitrimerus	Calepitrimerus_fopingi
Eukaryota	Archaeplastida	Chlorophyta	Chlorophyceae	Chlamydomonadales	Chlamydomonadales_X	Tetracystis	NA
Eukaryota	Opisthokonta	Metazoa	Mollusca	Gastropoda	Patellogastropoda	NA	NA
Eukaryota	Excavata	Discoba	Heterolobosea	Heterolobosea_X	Heterolobosea_XX	Heteramoeba	Heteramoeba_clara
Eukaryota	Rhizaria	Cercozoa	Cercozoa_X	Paramyxida	Paramyxida_X	Marteilia	Marteilia_sp.
